,Coach,Club,Appearance
0,Sir Alex Ferguson,Manchester United FC,190
1,Carlo Ancelotti,FC Bayern München,12
2,Carlo Ancelotti,Juventus,10
3,Carlo Ancelotti,Chelsea FC,18
4,Carlo Ancelotti,AC Milan,73
5,Carlo Ancelotti,Real Madrid CF,38
6,Carlo Ancelotti,Paris Saint-Germain,10
7,Carlo Ancelotti,Parma FC,6
8,Carlo Ancelotti,SSC Napoli,12
9,Arsène Wenger,Arsenal FC,171
10,Arsène Wenger,AS Monaco FC,7
11,Josep Guardiola,Manchester City FC,62
12,Josep Guardiola,FC Barcelona,49
13,Josep Guardiola,FC Bayern München,36
14,José Mourinho,Tottenham Hotspur,4
15,José Mourinho,Manchester United FC,14
16,José Mourinho,Real Madrid CF,32
17,José Mourinho,Chelsea FC,57
18,José Mourinho,FC Internazionale Milano,21
19,José Mourinho,FC Porto,17
20,Mircea Lucescu,Beşiktaş JK,6
21,Mircea Lucescu,FC Shakhtar Donetsk,68
22,Mircea Lucescu,FC Dynamo Kyiv,12
23,Mircea Lucescu,FC Internazionale Milano,3
24,Mircea Lucescu,Galatasaray AŞ,26
25,Louis van Gaal,FC Bayern München,21
26,Louis van Gaal,AFC Ajax,32
27,Louis van Gaal,FC Barcelona,36
28,Louis van Gaal,Manchester United FC,6
29,Ottmar Hitzfeld,FC Bayern München,76
30,Ottmar Hitzfeld,Borussia Dortmund,19
31,Rafael Benítez,SSC Napoli,6
32,Rafael Benítez,Valencia CF,14
33,Rafael Benítez,Real Madrid CF,6
34,Rafael Benítez,Liverpool FC,62
35,Rafael Benítez,FC Internazionale Milano,6
36,Rafael Benítez,Chelsea FC,1
37,Massimiliano Allegri,AC Milan,32
38,Massimiliano Allegri,Juventus,62
39,Jürgen Klopp,Borussia Dortmund,35
40,Jürgen Klopp,Liverpool FC,57
41,Diego Simeone,Club Atlético de Madrid,87
42,Fabio Capello,Real Madrid CF,8
43,Fabio Capello,Juventus,20
44,Fabio Capello,AC Milan,26
45,Fabio Capello,AS Roma,24
46,Marcello Lippi,Juventus,76
47,Ronald Koeman,AFC Ajax,26
48,Ronald Koeman,AZ Alkmaar,5
49,Ronald Koeman,FC Barcelona,11
50,Ronald Koeman,SL Benfica,10
51,Ronald Koeman,Valencia CF,3
52,Ronald Koeman,PSV Eindhoven,13
53,Manuel Pellegrini,Málaga CF,10
54,Manuel Pellegrini,Manchester City FC,26
55,Manuel Pellegrini,Villarreal CF,22
56,Manuel Pellegrini,Real Madrid CF,8
57,Roberto Mancini,SS Lazio,6
58,Roberto Mancini,Manchester City FC,12
59,Roberto Mancini,Galatasaray AŞ,7
60,Roberto Mancini,FC Internazionale Milano,36
61,Vicente del Bosque,Real Madrid CF,60
62,Javier Iruretagoyena Amiano,Real Club Deportivo La Coruña,58
63,Luciano Spalletti,AS Roma,30
64,Luciano Spalletti,FC Internazionale Milano,6
65,Luciano Spalletti,FC Zenit,21
66,Oleg Romantsev,FC Spartak Moskva,56
67,Fatih Terim,Galatasaray AŞ,53
68,Zinédine Zidane,Real Madrid CF,53
69,Héctor Cúper,FC Internazionale Milano,18
70,Héctor Cúper,Valencia CF,34
71,Thomas Tuchel,Borussia Dortmund,10
72,Thomas Tuchel,Chelsea FC,17
73,Thomas Tuchel,Paris Saint-Germain,25
74,Unai Emery,Valencia CF,13
75,Unai Emery,Villarreal CF,12
76,Unai Emery,Sevilla FC,6
77,Unai Emery,Paris Saint-Germain,16
78,Unai Emery,FC Spartak Moskva,5
79,Jorge Jesus,SL Benfica,39
80,Jorge Jesus,Sporting Clube de Portugal,10
81,Nils Arne Eggen,Rosenborg BK,49
82,Claude Puel,Olympique Lyonnais,28
83,Claude Puel,LOSC Lille,14
84,Claude Puel,AS Monaco FC,6
85,Claudio Ranieri,Juventus,8
86,Claudio Ranieri,FC Internazionale Milano,7
87,Claudio Ranieri,AS Roma,7
88,Claudio Ranieri,Chelsea FC,12
89,Claudio Ranieri,Valencia CF,6
90,Claudio Ranieri,Leicester City FC,7
91,Jupp Heynckes,FC Bayern München,36
92,Jupp Heynckes,Real Madrid CF,11
93,Guus Hiddink,PSV Eindhoven,32
94,Guus Hiddink,Real Madrid CF,6
95,Guus Hiddink,Chelsea FC,8
96,Laurent Blanc,FC Girondins de Bordeaux,16
97,Laurent Blanc,Paris Saint-Germain,30
98,Didier Deschamps,AS Monaco FC,21
99,Didier Deschamps,Olympique de Marseille,24
100,Mauricio Pochettino,Paris Saint-Germain,14
101,Mauricio Pochettino,Tottenham Hotspur,31
102,Yuri Semin,FC Lokomotiv Moskva,38
103,Yuri Semin,FC Dynamo Kyiv,7
104,Ernesto Valverde,Valencia CF,2
105,Ernesto Valverde,Olympiacos FC,6
106,Ernesto Valverde,Athletic Club,6
107,Ernesto Valverde,FC Barcelona,28
108,Felix Magath,VfB Stuttgart,8
109,Felix Magath,FC Schalke 04,8
110,Felix Magath,FC Bayern München,24
111,Thomas Schaaf,SV Werder Bremen,40
